Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,"Centre Cívic Fort Pienc",InscripcionsActivitatsFormacio,970,,,02,Eixample,05,"el Fort Pienc",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2021,"Centre Cívic Fort Pienc",Metres_quadrats,1306,,,02,Eixample,05,"el Fort Pienc",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
2021,"Centre Cívic Golferichs",ActivitatsDeFormacio,234,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2021,"Centre Cívic Golferichs",InscripcionsActivitatsFormacio,2908,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2021,"Centre Cívic Golferichs",Metres_quadrats,1025,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
2021,"Centre Cívic Guinardó",ActivitatsDeFormacio,126,,,07,Horta-Guinardó,35,"el Guinardó",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.173322891
2021,"Centre Cívic Guinardó",InscripcionsActivitatsFormacio,1003,,,07,Horta-Guinardó,35,"el Guinardó",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.173322891
2021,"Centre Cívic Guinardó",Metres_quadrats,600,,,07,Horta-Guinardó,35,"el Guinardó",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.173322891
2021,"Centre Cívic Joan Oliver - Pere Quart",ActivitatsDeFormacio,125,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.127757703
2021,"Centre Cívic Joan Oliver - Pere Quart",InscripcionsActivitatsFormacio,2568,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.127757703
2021,"Centre Cívic Joan Oliver - Pere Quart",Metres_quadrats,2433,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.127757703
2021,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",ActivitatsDeFormacio,111,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2021,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",InscripcionsActivitatsFormacio,917,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2021,"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",Metres_quadrats,800,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
2021,"Centre Cívic l'Elèctric",ActivitatsDeFormacio,42,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2021,"Centre Cívic l'Elèctric",InscripcionsActivitatsFormacio,502,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2021,"Centre Cívic l'Elèctric",Metres_quadrats,566,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
2021,"Centre Cívic La Cadena",ActivitatsDeFormacio,80,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
